FirstName,LastName,POS,TEAM,OPP,OPP_RANK,OvrRank,PosRank,Yds,TDs,INTs,Att,Yds,TDs,Rec,Yds,TDs,FP,FP,Cost,Value
Wes,Welker,WR,STL,BAL,#17,157,61,0,0,0,0,0,0,3.03,29.08,0.12,3.55,5.06,"$5,200",0.97
Lance,Moore,WR,DET,OAK,#31,158,62,0,0,0,0,0,0,2.17,24.66,0.17,3.47,4.57,"$5,100",0.9
Alfred,Blue,RB,HOU,NYJ,#4,159,46,0,0,0,6.87,22.57,0.04,1.25,9.65,0.02,3.46,4.09,"$5,700",0.72
Roddy,White,WR,ATL,IND,#20,160,63,0,0,0,0,0,0,1.75,26.13,0.14,3.45,4.33,"$5,400",0.8
Dexter,McCluster,RB,TEN,JAC,#23,161,47,0,0,0,5.22,18.87,0.06,1.68,11.62,0.02,3.33,4.19,"$5,200",0.81
Mohamed,Sanu,WR,CIN,ARI,#6,162,64,0.26,0,0,0.04,0.01,0,2.06,26.4,0.11,3.31,4.32,"$5,100",0.85
Anthony,Fasano,TE,TEN,JAC,#23,163,24,0,0,0,0,0,0,1.54,18.9,0.23,3.26,4.04,"$4,500",0.9
Aaron,Dobson,WR,NE,BUF,#10,164,65,0,0,0,0,0,0,2.75,29.66,0.04,3.23,4.58,"$4,500",1.02
Kyle,Rudolph,TE,MIN,GB,#21,165,25,0,0,0,0,0,0,2.33,23.14,0.16,3.21,4.4,"$4,700",0.94
Chris,Hogan,WR,BUF,NE,#14,166,66,0.37,0.01,0,0,0,0,1.85,23.28,0.13,3.18,4.09,"$4,900",0.83
Garrett,Celek,TE,SF,SEA,#3,167,26,0,0,0,0,0,0,1.97,21.8,0.16,3.17,4.17,"$4,800",0.87
Owen,Daniels,TE,DEN,CHI,#25,168,27,0,0,0,0,0,0,2.01,21.01,0.18,3.14,4.15,"$5,000",0.83
Michael,Floyd,WR,ARI,CIN,#11,169,67,0,0,0.01,0,0,0,1.35,21.44,0.15,2.99,3.71,"$6,400",0.58
Brandon,Tate,WR,CIN,ARI,#6,170,68,0.24,0,0,0,0,0,1.51,19.9,0.16,2.94,3.71,"$4,700",0.79
Brian,Quick,WR,STL,BAL,#17,171,69,0,0,0,0,0,0,1.96,22.53,0.12,2.93,3.95,"$4,700",0.84
Javorius,Allen,RB,BAL,STL,#2,172,48,0,0,0,3.28,15.19,0.04,1.38,9.19,0.03,2.79,3.49,"$4,900",0.71
Bilal,Powell,RB,NYJ,HOU,#13,173,49,0,0,0,3.19,14.2,0.06,1.16,7.86,0.05,2.78,3.37,"$4,900",0.69
Troy,Niklas,TE,ARI,CIN,#11,174,28,0,0,0,0,0,0,0.77,8.09,0.32,2.77,3.13,"$4,500",0.7
Chris,Polk,RB,HOU,NYJ,#4,175,50,0,0,0,4.95,15.7,0.07,1.32,9.09,0,2.76,3.44,"$5,200",0.66
Riley,Cooper,WR,PHI,TB,#18,176,70,0,0,0,0,0,0,1.15,18.51,0.14,2.75,3.29,"$5,100",0.65
Bennie,Fowler,WR,DEN,CHI,#25,177,71,0,0,0,0,0,0,1.64,18.49,0.13,2.67,3.47,"$4,800",0.72
Cole,Beasley,WR,DAL,MIA,#26,178,72,0,0,0,0,0,0,2.2,21.4,0.1,2.66,3.78,"$5,400",0.7
Brandon,Bolden,RB,NE,BUF,#10,180,51,0,0,0,0.96,2.52,0,1.86,15.27,0.15,2.62,3.55,"$5,900",0.6
Jaron,Brown,WR,ARI,CIN,#11,179,73,0,0,0,0,0,0,2.08,26.16,0,2.62,3.66,"$4,500",0.81
Mike,Tolbert,RB,CAR,WSH,#15,181,52,0,0,0,2.22,9.17,0.05,0.94,9.57,0.09,2.6,3.14,"$4,900",0.64
Jermaine,Gresham,TE,ARI,CIN,#11,182,29,0,0,0,0,0,0,1.47,17.82,0.14,2.57,3.34,"$4,500",0.74
